Номер;Район;Тип дома;Общая;Жилая;Кухня;Цена. тыс. руб.
C_653   ;СМР;блочный;40;20;10;1498.5
C_654   ;СМР;кирпичный;40;22;10;1600.02
C_710   ;КМР;блочный;40.3;21.3;11.6;1269
C_712   ;КМР;блочный;41;20;11;1674
C_719   ;ПМР;каркасный;41.3;22;10;1296
C_723   ;ЗИП;кирпичный;42;26;6;1377
C_724   ;Мосты;кирпичный;42;18;11;1601.1
C_725   ;СМР;каркасный;42;30;6;1134
C_738   ;ЗИП;кирпичный;43;27;6;1331.1
C_739   ;ЗИП;кирпичный;43;27;7;1450.008
C_740   ;СМР;каркасный;43;27;6;1501.2
C_755   ;ЗИП;кирпичный;44;21;11;796.5
C_756   ;ЗИП;кирпичный;44;21;11;850.5
C_757   ;Мосты;кирпичный;44;28;7;1549.8
C_758   ;Мосты;кирпичный;44;28;7;1512
C_759   ;СМР;каркасный;44;30;7;1350
C_760   ;СМР;каркасный;44;28;6;1431
C_778   ;Рос-кая;кирпичный;45;18;15;1401.3
C_779   ;Рос-кая;кирпичный;45;24;11;839.7
C_780   ;Рос-кая;каркасный;45;28;6.5;1431
C_781   ;СМР;каркасный;45;28;6;1499.985
C_809   ;СМР;каркасный;46;29;6;1499.985
C_834   ;ГМР;блочный;48;32;6;1449.9
C_836   ;ПМР;каркасный;48;29;8;1566
C_837   ;СМР;каркасный;48;33;6;1652.4
C_856   ;КМР;блочный;49;39;6;1350
C_862   ;ГМР;блочный;50;32;9;1215
C_863   ;ГМР;блочный;50;32;6;1458
C_865   ;ЗИП;каркасный;50;36;7;1566
C_866   ;ЗИП;каркасный;50;36;7;1539
C_867   ;ЗИП;каркасный;50;36;7;1599.75
C_868   ;ПМР;каркасный;50;32;10;1517.4
C_869   ;ПМР;каркасный;50;36;10;1501.2
C_889   ;ГМР;блочный;51;21;7;1501.2
C_897   ;ГМР;каркасный;52;30;8;1593
C_899   ;КМР;блочный;52;28.2;8;1485
C_900   ;Мосты;кирпичный;52;20;11;1674
C_901   ;Рос-кая;кирпичный;52;24;18;1401.3
C_913   ;Рос-кая;каркасный;52.8;28;8.2;1593
C_916   ;ПМР;каркасный;53;31;15;1242
C_940   ;ГМР;блочный;56;33;10;1501.2
C_941   ;ГМР;блочный;56;33;11;1100.007
C_942   ;ГМР;блочный;56;30;10;1198.8
C_944   ;СМР;каркасный;56;42;6;1620
C_964   ;ГМР;блочный;57;30;9;853.2
C_965   ;ГМР;блочный;57;31;11;899.1
C_1008  ;КМР;кирпичный;60;45;6;1620
C_1009  ;КМР;кирпичный;60;36;6;1431
C_1010  ;ПМР;каркасный;60;36;12;1501.2
C_1050  ;КМР;кирпичный;61;39;8;1458
C_1051  ;Рос-кая;кирпичный;61;23;17;1149.93
C_1085  ;ГМР;кирпичный;63;48.2;6.6;1404
C_1114  ;Мосты;кирпичный;65;24;17;1652.4
C_1126  ;ЗИП;кирпичный;66;30;14;1385.91
C_1138  ;КМР;каркасный;67;45;6;1649.7
C_1139  ;Мосты;кирпичный;67;45;9;1620
C_1155  ;КМР;кирпичный;68;45;6;1620
C_1168  ;Мосты;кирпичный;69;24;17;1660.5
C_1183  ;КМР;кирпичный;70;43;9;1404
C_1184  ;КМР;кирпичный;70;46;8;1620
C_1233  ;ЗИП;кирпичный;71;36;11;1279.8
C_1234  ;ЗИП;кирпичный;71;36;11;1309.5
C_1235  ;ЗИП;кирпичный;71;36;11;1306.8
C_1241  ;ЗИП;каркасный;72;37;11.5;1485
C_1242  ;КМР;кирпичный;72;48;8;1620
C_1281  ;Рос-кая;каркасный;74;28.5;9;837
C_1442  ;ГМР;каркасный;91;52;13;1499.85

